Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR16497780_1	SRR16497780_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61162150.0	0.0	151.0	66.0	16.29758480338085	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
SRR16497780_2	SRR16497780_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61162150.0	0.0	151.0	67.0	17.46673991734857	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
SRR16497780_clean_R1	SRR16497780_clean_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59247347.0	0.0	31-151	67.0	16.41131708965015	143.91930889327415	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
SRR16497780_clean_R2	SRR16497780_clean_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59247347.0	0.0	31-151	67.0	16.800067219184754	143.91930889327415	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
SRR16497781_1	SRR16497781_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44211438.0	0.0	151.0	61.0	29.213213602643172	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
SRR16497781_2	SRR16497781_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44211438.0	0.0	151.0	62.0	30.443615239740012	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
SRR16497781_clean_R1	SRR16497781_clean_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43125516.0	0.0	31-151	62.0	29.579932686388894	141.5298515152839	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR16497781_clean_R2	SRR16497781_clean_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43125516.0	0.0	31-151	62.0	29.90358596473533	141.5298515152839	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR16497782_1	SRR16497782_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57191275.0	0.0	151.0	58.0	32.528199198886604	151.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
SRR16497782_2	SRR16497782_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57191275.0	0.0	151.0	58.0	32.84611364019619	151.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
