GeneID	SRR16497780	SRR16497781	SRR16497782	SRR16497783	SRR16497784	SRR16497785
ENSG00000000003	55	146	344	244	95	258
ENSG00000000005	0	0	0	0	1	0
ENSG00000000419	290	192	442	332	243	263
ENSG00000000457	54	64	181	116	81	84
ENSG00000000460	24	30	176	67	82	98
ENSG00000000938	7	11	1	4	4	0
ENSG00000000971	3	3	0	5	0	2
ENSG00000001036	149	339	334	563	180	760
ENSG00000001084	62	258	134	115	65	274
ENSG00000001167	76	64	289	148	135	129
ENSG00000001460	29	31	132	48	36	49
ENSG00000001461	175	313	727	333	230	362
ENSG00000001497	156	89	466	369	296	325
ENSG00000001561	0	20	10	17	3	12
ENSG00000001617	116	19	302	90	210	27
ENSG00000001626	21	5	2	9	4	1
ENSG00000001629	362	731	1435	989	619	948
ENSG00000001630	848	264	672	549	707	526
ENSG00000001631	5	34	67	32	23	33
ENSG00000002016	51	93	105	125	98	164
ENSG00000002079	2	9	1	9	4	2
ENSG00000002330	250	381	586	441	287	526
ENSG00000002549	107	125	443	279	243	271
ENSG00000002586	1	0	0	2	0	0
ENSG00000002587	2	3	31	2	5	1
ENSG00000002726	7	6	0	1	1	0
ENSG00000002745	1	4	0	1	0	0
ENSG00000002746	17	13	10	4	0	0
ENSG00000002822	58	31	88	62	76	46
ENSG00000002834	809	2317	2537	2403	1605	4467
ENSG00000002919	124	155	371	272	188	308
ENSG00000002933	3	35	3	18	1	108
ENSG00000003056	160	283	755	804	328	808
ENSG00000003096	65	164	355	150	199	169
ENSG00000003137	1	666	21	26	4	75
ENSG00000003147	5	0	27	3	2	0
ENSG00000003249	150	12	316	60	221	51
ENSG00000003393	420	504	1125	804	529	837
ENSG00000003400	3	26	0	20	4	27
ENSG00000003402	679	348	1171	352	673	223
ENSG00000003436	237	1219	423	323	195	786
ENSG00000003509	38	54	153	97	57	97
ENSG00000003756	613	746	1882	1238	999	1185
ENSG00000003987	2	8	0	7	0	0
ENSG00000003989	27	5	41	14	21	17
ENSG00000004059	447	773	1075	761	696	680
ENSG00000004139	585	349	1342	768	819	519
ENSG00000004142	530	522	1166	927	734	1153
ENSG00000004399	5821	2424	8537	5001	5421	3088
ENSG00000004455	998	697	1663	1607	1238	1410
ENSG00000004468	14	23	26	26	13	11
ENSG00000004478	416	300	856	907	590	1111
ENSG00000004487	586	452	1666	1176	1046	1052
ENSG00000004534	307	387	1040	649	477	527
ENSG00000004660	60	105	260	148	139	182
ENSG00000004700	101	249	578	405	319	551
ENSG00000004766	107	168	439	267	205	267
ENSG00000004776	23	4	5	1	4	0
ENSG00000004777	122	49	291	83	167	63
ENSG00000004779	86	116	313	162	188	271
ENSG00000004799	6	1	3	4	1	0
ENSG00000004809	5	1	2	4	0	0
ENSG00000004838	6	10	1	11	10	6
ENSG00000004846	2	7	1	6	3	2
ENSG00000004848	4	1	5	32	2	3
ENSG00000004864	56	103	384	335	238	289
ENSG00000004866	4	24	64	66	28	58
ENSG00000004897	164	292	736	419	273	593
ENSG00000004939	9	4	2	1	2	0
ENSG00000004948	3	5	12	0	6	1
ENSG00000004961	34	62	215	154	109	157
ENSG00000004975	307	476	983	715	619	879
ENSG00000005001	12	4	2	2	0	1
ENSG00000005007	949	876	1676	1182	1170	1264
ENSG00000005020	9	8	124	8	31	10
ENSG00000005022	547	580	1817	1489	1027	1696
ENSG00000005059	90	71	219	85	105	109
ENSG00000005073	1	0	1	0	1	0
ENSG00000005075	81	121	282	158	146	242
ENSG00000005100	226	131	599	364	457	349
ENSG00000005102	1	3	0	0	0	0
ENSG00000005108	4	12	5	12	1	1
ENSG00000005156	176	162	646	369	304	323
ENSG00000005175	31	76	252	191	114	254
ENSG00000005187	0	9	2	2	3	0
ENSG00000005189	52	61	103	70	84	67
ENSG00000005194	360	229	783	564	564	648
ENSG00000005206	284	178	506	310	321	305
ENSG00000005238	107	162	322	300	185	303
ENSG00000005243	18	77	28	46	8	32
ENSG00000005249	41	489	115	102	62	228
ENSG00000005302	72	103	219	130	117	171
ENSG00000005339	595	942	1779	1103	825	1259
ENSG00000005379	39	21	44	15	18	2
ENSG00000005381	4	4	2	2	2	1
ENSG00000005421	0	2	0	2	1	0
ENSG00000005436	45	50	243	125	94	115
ENSG00000005448	69	101	216	236	133	285
ENSG00000005469	15	150	80	87	35	102
ENSG00000005471	20	27	49	17	41	33
ENSG00000005483	331	482	1305	647	496	616
ENSG00000005486	401	445	851	697	352	684
ENSG00000005513	205	45	320	71	135	36
ENSG00000005700	183	426	794	567	306	699
ENSG00000005801	128	74	439	282	166	238
ENSG00000005810	317	842	1209	1218	603	1303
ENSG00000005812	120	202	580	294	246	352
ENSG00000005844	12	18	0	5	7	2
ENSG00000005882	121	193	428	260	184	223
ENSG00000005884	7412	4926	16530	13906	10936	12069
ENSG00000005889	153	370	760	513	303	565
ENSG00000005893	288	1022	2332	1982	577	2283
ENSG00000005961	30	29	33	18	20	9
ENSG00000005981	0	0	0	0	3	0
ENSG00000006007	217	342	808	567	397	674
ENSG00000006015	172	127	179	147	169	158
ENSG00000006016	32	14	14	6	4	9
ENSG00000006025	84	88	316	232	142	155
ENSG00000006042	286	561	789	260	356	398
ENSG00000006047	9	9	9	7	14	6
ENSG00000006059	1	2	2	0	0	0
ENSG00000006062	127	230	273	450	228	444
ENSG00000006071	33	10	6	9	3	5
ENSG00000006116	8	2	0	1	0	0
ENSG00000006118	4989	1433	7914	5527	4561	2535
ENSG00000006125	985	1957	4765	2809	1982	3180
ENSG00000006128	2	3	0	0	0	0
ENSG00000006194	417	289	595	407	429	347
ENSG00000006210	185	33	428	52	177	46
ENSG00000006282	340	697	950	698	514	705
ENSG00000006283	16	19	16	12	11	3
ENSG00000006327	742	324	1190	734	1082	958
ENSG00000006377	1	2	0	1	2	1
ENSG00000006432	87	112	242	302	195	397
ENSG00000006451	108	200	517	263	203	351
ENSG00000006453	16	47	29	40	26	62
ENSG00000006459	42	89	151	132	69	56
ENSG00000006468	7	178	27	64	11	155
ENSG00000006530	146	131	393	315	203	371
ENSG00000006534	765	1102	1695	1476	793	1195
ENSG00000006555	8	10	1	5	2	0
ENSG00000006576	49	196	299	147	129	288
ENSG00000006606	0	1	1	2	1	11
ENSG00000006607	194	193	733	456	346	442
ENSG00000006611	3	4	0	0	0	3
ENSG00000006625	28	19	107	58	52	67
ENSG00000006634	51	31	213	83	123	123
ENSG00000006638	64	72	154	54	86	72
ENSG00000006652	23	84	159	126	68	59
ENSG00000006659	0	1	4	0	1	0
ENSG00000006695	45	91	171	110	69	134
ENSG00000006704	358	362	638	425	323	421
ENSG00000006712	134	200	346	273	299	338
ENSG00000006715	802	622	1546	1187	780	796
ENSG00000006740	24	27	29	15	16	32
ENSG00000006744	470	438	1197	930	767	1036
ENSG00000006747	9	11	2	3	2	0
ENSG00000006756	184	423	205	382	125	442
ENSG00000006757	0	0	0	0	0	0
ENSG00000006788	0	10	3	6	0	4
ENSG00000006831	124	344	748	542	315	723
ENSG00000006837	13	8	20	19	6	8
ENSG00000007001	1	3	0	0	1	0
ENSG00000007038	1	7	1	0	0	0
ENSG00000007047	313	522	601	580	347	503
ENSG00000007062	321	119	707	200	372	144
ENSG00000007080	288	179	540	367	475	341
ENSG00000007129	0	2	1	0	1	0
ENSG00000007168	1807	1887	4049	2298	2025	2422
ENSG00000007171	4	3	0	3	0	1
ENSG00000007174	16	33	12	17	16	10
ENSG00000007202	914	1188	3341	2637	1991	3278
ENSG00000007216	6	1	1	2	0	0
ENSG00000007237	1929	1462	4266	1545	1778	1417
ENSG00000007255	90	129	238	228	100	134
ENSG00000007264	3	5	6	7	1	2
ENSG00000007306	9	2	1	2	2	0
ENSG00000007312	1	0	0	2	0	0
ENSG00000007314	12	6	1	8	0	1
ENSG00000007341	28	99	206	143	109	143
ENSG00000007350	0	3	0	2	0	0
ENSG00000007372	77	17	126	17	57	4
ENSG00000007376	268	204	517	422	425	528
ENSG00000007384	269	250	777	391	350	573
ENSG00000007392	296	210	622	355	445	382
ENSG00000007402	32	10	40	7	9	2
ENSG00000007516	163	176	251	89	171	62
ENSG00000007520	799	588	921	825	831	853
ENSG00000007541	279	303	571	287	335	375
ENSG00000007545	290	212	553	379	316	309
ENSG00000007866	157	233	443	427	296	500
ENSG00000007908	12	5	0	2	0	0
ENSG00000007923	266	261	741	658	466	675
ENSG00000007933	4	5	0	16	2	6
ENSG00000007944	13	36	25	32	3	13
ENSG00000007952	9	6	0	0	5	0
ENSG00000007968	159	29	234	71	228	77
ENSG00000008018	172	283	730	510	388	697
ENSG00000008056	2	4	4	6	2	2
ENSG00000008083	356	123	624	696	410	361
ENSG00000008086	56	86	387	101	154	131
ENSG00000008118	0	0	1	1	0	0
ENSG00000008128	44	37	60	52	34	40
ENSG00000008130	681	661	1274	1499	975	1287
ENSG00000008196	1	25	1	102	1	82
ENSG00000008197	0	3	0	0	1	0
ENSG00000008226	10	18	12	10	7	0
ENSG00000008256	352	394	1040	802	653	857
ENSG00000008277	31	30	127	31	34	14
ENSG00000008282	84	227	518	317	176	345
ENSG00000008283	24	408	103	197	55	477
ENSG00000008294	1889	1746	4596	2278	2144	1754
