GeneID	SRR16497780	SRR16497781	SRR16497782	SRR16497783	SRR16497784	SRR16497785
ENSG00000000003	56	151	341	230	95	251
ENSG00000000005	0	0	0	0	1	0
ENSG00000000419	42	74	221	142	99	169
ENSG00000000457	72	64	176	117	84	82
ENSG00000000460	15	29	129	48	57	72
ENSG00000000938	13	16	2	5	9	0
ENSG00000000971	10	3	0	6	2	3
ENSG00000001036	139	255	232	399	138	481
ENSG00000001084	62	242	117	105	61	245
ENSG00000001167	55	60	231	108	112	111
ENSG00000001460	39	47	133	50	42	53
ENSG00000001461	178	304	697	325	227	349
ENSG00000001497	149	89	419	320	269	288
ENSG00000001561	0	24	10	17	4	12
ENSG00000001617	117	18	298	92	211	25
ENSG00000001626	21	13	2	19	7	1
ENSG00000001629	336	676	1349	940	576	905
ENSG00000001630	800	250	654	532	679	511
ENSG00000001631	41	129	268	177	103	170
ENSG00000002016	54	88	116	135	95	155
ENSG00000002079	8	22	22	25	5	18
ENSG00000002330	36	68	116	86	58	115
ENSG00000002549	110	132	450	284	240	271
ENSG00000002586	0	0	0	0	0	0
ENSG00000002587	2	6	32	12	5	1
ENSG00000002726	22	13	0	10	4	0
ENSG00000002745	2	11	1	5	3	0
ENSG00000002746	29	15	16	10	2	0
ENSG00000002822	330	279	525	508	495	530
ENSG00000002834	696	2034	2220	2130	1424	3830
ENSG00000002919	124	161	365	273	187	302
ENSG00000002933	3	35	4	19	1	104
ENSG00000003056	135	244	633	667	272	665
ENSG00000003096	60	168	347	141	195	163
ENSG00000003137	5	661	24	26	5	76
ENSG00000003147	9	4	30	6	5	0
ENSG00000003249	151	15	300	59	212	49
ENSG00000003393	208	381	916	677	379	694
ENSG00000003400	8	32	1	27	4	27
ENSG00000003402	608	322	1032	300	635	197
ENSG00000003436	232	1161	404	310	191	705
ENSG00000003509	40	42	137	94	55	91
ENSG00000003756	432	469	1185	795	647	762
ENSG00000003987	5	24	11	22	5	11
ENSG00000003989	35	10	42	15	21	18
ENSG00000004059	414	740	1000	720	647	634
ENSG00000004139	383	224	676	412	482	237
ENSG00000004142	524	516	1144	907	715	1118
ENSG00000004399	5664	2350	8347	4883	5291	3005
ENSG00000004455	905	623	1488	1460	1097	1263
ENSG00000004468	17	33	26	30	13	11
ENSG00000004478	310	235	615	630	406	769
ENSG00000004487	575	443	1646	1221	996	1046
ENSG00000004534	304	372	1005	626	464	507
ENSG00000004660	60	117	261	147	140	183
ENSG00000004700	73	145	322	254	182	290
ENSG00000004766	106	174	422	262	195	256
ENSG00000004776	26	2	7	3	5	2
ENSG00000004777	103	51	269	74	147	60
ENSG00000004779	90	119	310	161	189	268
ENSG00000004799	14	5	3	6	1	0
ENSG00000004809	5	2	2	6	2	0
ENSG00000004838	13	12	5	18	16	4
ENSG00000004846	5	22	4	10	3	2
ENSG00000004848	4	3	6	36	8	3
ENSG00000004864	53	97	379	328	231	283
ENSG00000004866	3	23	51	57	26	57
ENSG00000004897	166	276	653	378	235	521
ENSG00000004939	28	8	2	2	3	0
ENSG00000004948	7	5	17	2	7	2
ENSG00000004961	31	59	200	144	99	146
ENSG00000004975	301	462	955	687	613	839
ENSG00000005001	13	8	0	5	3	1
ENSG00000005007	949	871	1647	1158	1139	1229
ENSG00000005020	16	10	123	9	27	10
ENSG00000005022	437	449	1503	1173	809	1321
ENSG00000005059	94	77	231	95	106	115
ENSG00000005073	0	1	0	2	3	1
ENSG00000005075	78	120	256	149	137	232
ENSG00000005100	228	134	599	367	458	350
ENSG00000005102	2	7	1	3	0	0
ENSG00000005108	11	21	8	20	4	5
ENSG00000005156	162	150	613	340	295	305
ENSG00000005175	42	78	247	181	107	251
ENSG00000005187	0	9	3	2	5	2
ENSG00000005189	41	51	91	59	71	63
ENSG00000005194	349	217	749	539	534	611
ENSG00000005206	287	178	506	303	320	303
ENSG00000005238	88	158	315	286	175	298
ENSG00000005243	21	75	27	46	10	32
ENSG00000005249	46	481	116	102	58	223
ENSG00000005302	74	100	203	125	110	161
ENSG00000005339	582	926	1723	1072	800	1206
ENSG00000005379	46	22	48	19	27	4
ENSG00000005381	12	6	3	4	5	1
ENSG00000005421	9	4	13	15	4	2
ENSG00000005436	117	101	328	189	143	129
ENSG00000005448	71	98	215	228	129	278
ENSG00000005469	23	148	81	82	35	100
ENSG00000005471	19	31	47	20	41	32
ENSG00000005483	226	342	1082	505	361	472
ENSG00000005486	394	441	846	682	346	670
